id,season,prenda,nivel,subnivel,tipo_color_temporada,color,color_categoria,publishable,formales_informales,color_l,color_categoria_l,adventurous,application,basic,print,style,weather,talla_lookiero
22aJ1214_bofrtwo0_sm,8,cardigan,2,2.2,FRIOS/INVIERNO,black,NEGRO,True,N,a,A,two,freetime,0,smooth,boho,cold_season,"['XL', 'M', 'S', 'XS', 'L']"
22bJ1214_bofrtwo0_sm,8,cardigan,2,2.2,CALIDOS/VERANO,beige,MARRÓN,True,N,b,B,two,freetime,0,smooth,boho,cold_season,"['L', 'M', 'S', 'XL', 'XS']"
22cJ1214_bofrtwo0_sm,8,cardigan,2,2.2,FRIOS/INVIERNO,rust,MARRÓN,True,N,c,B,two,freetime,0,smooth,boho,cold_season,"['S', 'L', 'M', 'XL', 'XS']"
11dP1393_cafrthr0_sm,7,pant,1,1.1,CALIDOS/VERANO,red,ROJO,True,N,d,C,three,freetime,0,smooth,casual,warm_season,"['M', 'S', 'XL', 'XS', 'L']"
22eJ1738_bowotwo0_sm,9,sweater,2,2.2,CALIDOS/VERANO,yellow,AMARILLO,True,N,e,D,two,work,0,smooth,boho,warm_season,"['M', 'XL', 'L', 'XS', 'S']"
22fJ1738_bowotwo0_sm,9,sweater,2,2.2,CALIDOS/VERANO,ecru,BLANCO,True,N,f,E,two,work,0,smooth,boho,warm_season,"['M', 'XS', 'S', 'L', 'XL']"
22gJ1738_bowotwo0_sm,9,sweater,2,2.2,FRIOS/INVIERNO,blue_dark,AZUL,True,N,g,F,two,work,0,smooth,boho,warm_season,"['XS', 'L', 'M', 'S', 'XL']"
31gK892_bofrthr0_fl,8,jacket,3,3.1,FRIOS/INVIERNO,blue_dark,AZUL,True,N,g,F,three,freetime,0,floral,boho,warm_season,"['S', 'XL', 'XS', 'L', 'M']"
31aK892_bofrthr0_fl,8,jacket,3,3.1,FRIOS/INVIERNO,black,NEGRO,True,N,a,A,three,freetime,0,floral,boho,warm_season,"['S', 'XL', 'XS', 'L', 'M']"
21hS2517_bowothr0_sh,8,shirt,2,2.1,FRIOS/INVIERNO,green_dark,VERDE,True,FR,h,G,three,work,0,sheets,boho,warm_season,"['L', 'S', 'M']"
21iS2517_bowothr0_sh,8,shirt,2,2.1,CALIDOS/VERANO,camel,MARRÓN,True,FR,i,B,three,work,0,sheets,boho,warm_season,"['L', 'M', 'S']"
11aP2109_clwotwo0_sm,9,pant,1,1.1,FRIOS/INVIERNO,black,NEGRO,True,N,a,A,two,work,0,smooth,classic,warm_season,"['XL', 'S', 'M', 'L', 'XXL']"
11gP2109_clwotwo0_sm,9,pant,1,1.1,FRIOS/INVIERNO,blue_dark,AZUL,True,N,g,F,two,work,0,smooth,classic,warm_season,"['L', 'XL', 'XXL', 'M', 'S']"
11jP2109_clwotwo0_sm,9,pant,1,1.1,FRIOS/INVIERNO,gray_light,GRIS,True,N,j,H,two,work,0,smooth,classic,warm_season,"['XXL', 'M', 'L', 'XL', 'S']"
11kP2109_clwotwo0_sm,9,pant,1,1.1,FRIOS/INVIERNO,khaki,VERDE,True,N,k,G,two,work,0,smooth,classic,warm_season,"['L', 'M', 'S', 'XL', 'XXL']"
11lP2109_clwotwo0_sm,9,pant,1,1.1,FRIOS/INVIERNO,brown,MARRÓN,True,N,l,B,two,work,0,smooth,classic,warm_season,"['S', 'M', 'L', 'XL', 'XXL']"
21aT1997_bofrtwo0_an,9,top,2,2.1,FRIOS/INVIERNO,black,NEGRO,True,N,a,A,two,freetime,0,animal_print,boho,warm_season,"['XXXL', 'XL', 'XXL', 'L', 'X4XL']"
21mT1782_bofrtwo0_an,9,top,2,2.1,FRIOS/INVIERNO,indigo,AZUL,True,N,m,F,two,freetime,0,animal_print,boho,warm,"['XXL', 'L', 'X4XL', 'XL', 'XXXL']"
21nT3002_clwotwo0_sm,9,top,2,2.1,CALIDOS/VERANO,white,BLANCO,False,N,n,E,two,work,0,smooth,classic,warm,"['M', 'L', 'S']"
21aT3002_clwotwo0_sm,9,top,2,2.1,FRIOS/INVIERNO,black,NEGRO,True,N,a,A,two,work,0,smooth,classic,warm,"['L', 'S', 'M']"
21oT3002_clwotwo0_sm,9,top,2,2.1,CALIDOS/VERANO,green,VERDE,True,N,o,G,two,work,0,smooth,classic,warm,"['S', 'L', 'M']"
21fC1108_bowothr0_ho,7,t-shirt,2,2.1,CALIDOS/VERANO,ecru,BLANCO,True,IR,f,E,three,work,0,horizontal_stripes,boho,warm_season,"['L', 'M', 'S', 'XS']"
21pT999_bowothr0_sm,7,top,2,2.1,FRIOS/INVIERNO,grey_dark,GRIS,True,N,p,H,three,work,0,smooth,boho,warm,"['M', 'S', 'L', 'XS']"
21gC1106_cafrthr0_ho,7,t-shirt,2,2.1,FRIOS/INVIERNO,blue_dark,AZUL,True,IR,g,F,three,freetime,0,horizontal_stripes,casual,warm_season,"['L', 'M', 'S', 'XS']"
31aK709_cafrfou0_sh,7,jacket,3,3.1,FRIOS/INVIERNO,black,NEGRO,True,N,a,A,four,freetime,0,sheets,casual,warm_season,"['L', 'M', 'S']"
31gK817_stfrthr0_sm,7,jacket,3,3.1,FRIOS/INVIERNO,blue_dark,AZUL,True,N,g,F,three,freetime,0,smooth,street,warm_season,"['L', 'X4XL', 'XL', 'XXL', 'XXXL']"
11nM140_stwothr0_sm,9,jeans,1,1.1,CALIDOS/VERANO,white,BLANCO,True,IR,n,E,three,work,0,smooth,street,warm_season,"['M', 'L', 'S', 'XS', 'XL']"
12gD2191_clwothr0_sm,9,dress,1,1.2,FRIOS/INVIERNO,blue_dark,AZUL,True,N,g,F,three,work,0,smooth,classic,warm_season,"['XXL', 'XL', 'S', 'L', 'M']"
12aD2029_clwotwo0_sm,9,dress,1,1.2,FRIOS/INVIERNO,black,NEGRO,True,N,a,A,two,work,0,smooth,classic,warm,"['XS', 'L', 'M', 'XL', 'S']"
21qS2992_bowothr0_sh,9,shirt,2,2.1,CALIDOS/VERANO,mustand,AMARILLO,True,FR,q,D,three,work,0,sheets,boho,warm_season,"['XL', 'M', 'S', 'L']"
21fS2992_bowothr0_sh,9,shirt,2,2.1,CALIDOS/VERANO,ecru,BLANCO,True,FR,f,E,three,work,0,sheets,boho,warm_season,"['M', 'S', 'XL', 'L']"
12oD2743_clwotwo0_sm,9,dress,1,1.2,CALIDOS/VERANO,green,VERDE,True,N,o,G,two,work,0,smooth,classic,warm_season,"['S', 'M', 'L']"
12aD2743_clwotwo0_sm,9,dress,1,1.2,FRIOS/INVIERNO,black,NEGRO,True,N,a,A,two,work,0,smooth,classic,warm_season,"['M', 'S', 'L']"
12gD2743_clwotwo0_sm,9,dress,1,1.2,FRIOS/INVIERNO,blue_dark,AZUL,True,N,g,F,two,work,0,smooth,classic,warm_season,"['L', 'M', 'S']"
21kS2787_clwotwo0_bo,9,shirt,2,2.1,FRIOS/INVIERNO,khaki,VERDE,False,FR,k,G,two,work,0,bodoque,classic,cold_season,['XL']
21fS2787_clwotwo0_bo,9,shirt,2,2.1,CALIDOS/VERANO,ecru,BLANCO,False,FR,f,E,two,work,0,bodoque,classic,cold_season,['XL']
32aQ354_bowotwon_sh,8,scarf,3,3.2,FRIOS/INVIERNO,black,NEGRO,True,FR,a,A,two,work,no_especificado,sheets,boho,warm_season,['UNQ']
11rF1101_bofrthr0_sm,8,skirt,1,1.1,CALIDOS/VERANO,pink,ROSA,True,FR,r,I,three,freetime,0,smooth,boho,cold_season,"['M', 'XL', 'XS', 'S', 'L']"
11lF1101_bofrthr0_sm,8,skirt,1,1.1,FRIOS/INVIERNO,brown,MARRÓN,True,FR,l,B,three,freetime,0,smooth,boho,cold_season,"['M', 'XS', 'S', 'XL', 'L']"
21aC2255_stwothr0_sm,9,t-shirt,2,2.1,FRIOS/INVIERNO,black,NEGRO,True,IR,a,A,three,work,0,smooth,street,cold_season,"['L', 'XL', 'M', 'XS', 'S', 'XXL']"
21fC2255_stwothr0_sm,9,t-shirt,2,2.1,CALIDOS/VERANO,ecru,BLANCO,True,IR,f,E,three,work,0,smooth,street,cold_season,"['M', 'S', 'XL', 'XS', 'XXL', 'L']"
31aK1028_clwothr0_an,9,jacket,3,3.1,FRIOS/INVIERNO,black,NEGRO,True,N,a,A,three,work,0,animal_print,classic,warm,"['L', 'X4XL', 'XXXL', 'XXL', 'XL']"
21dT3005_bowotwo0_sm,9,top,2,2.1,CALIDOS/VERANO,red,ROJO,True,N,d,C,two,work,0,smooth,boho,warm,"['M', 'L', 'S']"
21nT3005_bowotwo0_sm,9,top,2,2.1,CALIDOS/VERANO,white,BLANCO,False,N,n,E,two,work,0,smooth,boho,warm,"['M', 'S', 'L']"
31kK546_stfrthr0_sm,7,jacket,3,3.1,FRIOS/INVIERNO,khaki,VERDE,True,N,k,G,three,freetime,0,smooth,street,cold_season,"['L', 'M', 'S']"
31gK546_stfrthr0_sm,7,jacket,3,3.1,FRIOS/INVIERNO,blue_dark,AZUL,True,N,g,F,three,freetime,0,smooth,street,cold_season,"['L', 'M', 'S']"
21oS1683_cawotwo0_ve,7,shirt,2,2.1,CALIDOS/VERANO,green,VERDE,True,FR,o,G,two,work,0,vertical_stripes,casual,warm_season,['UNQ']
21sS1683_cawotwo0_ve,7,shirt,2,2.1,CALIDOS/VERANO,blue_light,AZUL,True,FR,s,F,two,work,0,vertical_stripes,casual,warm_season,['UNQ']
22jJ1287_stfrthr0_ho,7,cardigan,2,2.2,FRIOS/INVIERNO,gray_light,GRIS,True,N,j,H,three,freetime,0,horizontal_stripes,street,cold_season,['UNQ']
22tJ1287_stfrthr0_ho,7,cardigan,2,2.2,FRIOS/INVIERNO,blue,AZUL,True,N,t,F,three,freetime,0,horizontal_stripes,street,cold_season,['UNQ']
21nT1240_clfrthr0_sm,7,top,2,2.1,CALIDOS/VERANO,white,BLANCO,False,N,n,E,three,freetime,0,smooth,classic,warm,"['M', 'S', 'L']"
21oT1240_clfrthr0_sm,7,top,2,2.1,CALIDOS/VERANO,green,VERDE,True,N,o,G,three,freetime,0,smooth,classic,warm,"['M', 'S', 'L']"
21qT1240_clfrthr0_sm,7,top,2,2.1,CALIDOS/VERANO,mustand,AMARILLO,True,N,q,D,three,freetime,0,smooth,classic,warm,"['L', 'M', 'S']"
21aT1240_clfrthr0_sm,7,top,2,2.1,FRIOS/INVIERNO,black,NEGRO,True,N,a,A,three,freetime,0,smooth,classic,warm,"['L', 'M', 'S']"
21uT1240_clfrthr0_sm,7,top,2,2.1,CALIDOS/VERANO,orange,NARANJA,True,N,u,J,three,freetime,0,smooth,classic,warm,"['L', 'M', 'S']"
22aJ1290_bofrtwo0_sm,7,sweater,2,2.2,FRIOS/INVIERNO,black,NEGRO,False,N,a,A,two,freetime,0,smooth,boho,cold_season,"['S', 'M']"
22dJ1290_bofrtwo0_sm,7,sweater,2,2.2,CALIDOS/VERANO,red,ROJO,True,N,d,C,two,freetime,0,smooth,boho,cold_season,"['M', 'S']"
22nJ1290_bofrtwo0_sm,7,sweater,2,2.2,CALIDOS/VERANO,white,BLANCO,False,N,n,E,two,freetime,0,smooth,boho,cold_season,"['M', 'S']"
22qJ1290_bofrtwo0_sm,7,sweater,2,2.2,CALIDOS/VERANO,mustand,AMARILLO,True,N,q,D,two,freetime,0,smooth,boho,cold_season,"['M', 'S']"
31gK545_cafrthr0_sm,7,jacket,3,3.1,FRIOS/INVIERNO,blue_dark,AZUL,True,N,g,F,three,freetime,0,smooth,casual,warm_season,"['XL', 'L', 'M', 'S', 'XS', 'XXL']"
12dD2765_bofrtwo0_mi,9,dress,1,1.2,CALIDOS/VERANO,red,ROJO,True,N,d,C,two,freetime,0,miniprint,boho,warm,"['L', 'M', 'S']"
21nT3006_bowotwo0_sm,9,top,2,2.1,CALIDOS/VERANO,white,BLANCO,False,N,n,E,two,work,0,smooth,boho,warm,"['M', 'S', 'L']"
21gT3006_bowotwo0_sm,9,top,2,2.1,FRIOS/INVIERNO,blue_dark,AZUL,True,N,g,F,two,work,0,smooth,boho,warm,"['M', 'L', 'S']"
21vT3006_bowotwo0_sm,9,top,2,2.1,CALIDOS/VERANO,crimson,ROJO,True,N,v,C,two,work,0,smooth,boho,warm,"['S', 'M', 'L']"
21oT3006_bowotwo0_sm,9,top,2,2.1,CALIDOS/VERANO,green,VERDE,True,N,o,G,two,work,0,smooth,boho,warm,"['S', 'L', 'M']"
21aT3006_bowotwo0_sm,9,top,2,2.1,FRIOS/INVIERNO,black,NEGRO,True,N,a,A,two,work,0,smooth,boho,warm,"['L', 'M', 'S']"
11dF1635_bofrthr0_re,9,skirt,1,1.1,CALIDOS/VERANO,red,ROJO,True,FR,d,C,three,freetime,0,retro,boho,warm,"['M', 'S', 'L']"
11nP1868_stwothr0_sm,9,pant,1,1.1,CALIDOS/VERANO,white,BLANCO,True,N,n,E,three,work,0,smooth,street,warm_season,"['S', 'M', 'XS', 'XL', 'L']"
11gP1851_bowothr0_fl,8,pant,1,1.1,FRIOS/INVIERNO,blue_dark,AZUL,True,N,g,F,three,work,0,floral,boho,warm_season,"['L', 'M', 'S']"
11aP1018_clwothr0_he,7,pant,1,1.1,FRIOS/INVIERNO,black,NEGRO,True,N,a,A,three,work,0,herringbone,classic,cold,"['M', 'S', 'L', 'XL', 'XXL']"
12nD2094_bofrthr0_fl,7,dress,1,1.2,CALIDOS/VERANO,white,BLANCO,False,N,n,E,three,freetime,0,floral,boho,warm,"['L', 'M', 'S']"
12gD2094_bofrthr0_fl,7,dress,1,1.2,FRIOS/INVIERNO,blue_dark,AZUL,False,N,g,F,three,freetime,0,floral,boho,warm,"['M', 'L', 'S']"
21wS1692_clwotwo0_sm,7,shirt,2,2.1,CALIDOS/VERANO,salmon,ROSA,True,FR,w,I,two,work,0,smooth,classic,warm_season,"['L', 'M', 'S', 'XL']"
21xS1692_clwotwo0_sm,7,shirt,2,2.1,CALIDOS/VERANO,green_light,VERDE,True,FR,x,G,two,work,0,smooth,classic,warm_season,"['L', 'M', 'S', 'XL']"
21qS1692_clwotwo0_sm,7,shirt,2,2.1,CALIDOS/VERANO,mustand,AMARILLO,True,FR,q,D,two,work,0,smooth,classic,warm_season,"['L', 'M', 'S', 'XL']"
21gS1692_clwotwo0_sm,7,shirt,2,2.1,FRIOS/INVIERNO,blue_dark,AZUL,True,FR,g,F,two,work,0,smooth,classic,warm_season,"['L', 'M', 'XL', 'S']"
21fS1692_clwotwo0_sm,7,shirt,2,2.1,CALIDOS/VERANO,ecru,BLANCO,True,FR,f,E,two,work,0,smooth,classic,warm_season,"['L', 'M', 'S', 'XL']"
21aS1692_clwotwo0_sm,7,shirt,2,2.1,FRIOS/INVIERNO,black,NEGRO,True,FR,a,A,two,work,0,smooth,classic,warm_season,"['L', 'M', 'S', 'XL']"
11kP1380_clwothr0_sm,7,pant,1,1.1,FRIOS/INVIERNO,khaki,VERDE,True,N,k,G,three,work,0,smooth,classic,warm_season,"['XL', 'S', 'L', 'M', 'XS', 'XXL']"
11fP1380_clwothr0_sm,7,pant,1,1.1,CALIDOS/VERANO,ecru,BLANCO,True,N,f,E,three,work,0,smooth,classic,warm_season,"['L', 'M', 'S', 'XL', 'XS', 'XXL']"
21oS1758_bowothr0_fl,7,shirt,2,2.1,CALIDOS/VERANO,green,VERDE,True,FR,o,G,three,work,0,floral,boho,warm_season,"['XS', 'XL', 'L', 'M', 'S']"
11sP2254_clfrtwo0_ho,9,pant,1,1.1,CALIDOS/VERANO,blue_light,AZUL,True,N,s,F,two,freetime,0,horizontal_stripes,classic,warm,"['S', 'L', 'M']"
21qT1487_bowothr0_fl,7,top,2,2.1,CALIDOS/VERANO,mustand,AMARILLO,True,N,q,D,three,work,0,floral,boho,warm,"['M', 'S', 'L']"
12gY154_clwothr0_sm,8,jumpsuit,1,1.2,FRIOS/INVIERNO,blue_dark,AZUL,True,N,g,F,three,work,0,smooth,classic,warm,"['L', 'M', 'S']"
12aD2092_bowotwo0_sm,8,dress,1,1.2,FRIOS/INVIERNO,black,NEGRO,True,N,a,A,two,work,0,smooth,boho,warm_season,"['S', 'L', 'M']"
31oK934_clwothr0_mi,8,jacket,3,3.1,CALIDOS/VERANO,green,VERDE,True,N,o,G,three,work,0,miniprint,classic,warm_season,"['L', 'M', 'S']"
21nT1624_bofrtwo0_sm,7,top,2,2.1,CALIDOS/VERANO,white,BLANCO,False,N,n,E,two,freetime,0,smooth,boho,warm,"['L', 'M', 'S']"
22bJ1455_bowotwo0_sm,8,sweater,2,2.2,CALIDOS/VERANO,beige,MARRÓN,True,N,b,B,two,work,0,smooth,boho,cold_season,"['M', 'S', 'XL', 'XS', 'L']"
22yJ1455_bowotwo0_sm,8,sweater,2,2.2,FRIOS/INVIERNO,garnet,ROJO,True,N,y,C,two,work,0,smooth,boho,cold_season,"['L', 'M', 'S', 'XL', 'XS']"
22aJ1455_bowotwo0_sm,8,sweater,2,2.2,FRIOS/INVIERNO,black,NEGRO,True,N,a,A,two,work,0,smooth,boho,cold_season,"['L', 'M', 'S', 'XL', 'XS']"
11hM873_stnithr0_sm,9,jeans,1,1.1,FRIOS/INVIERNO,green_dark,VERDE,True,IR,h,G,three,night,0,smooth,street,cold,"['S', 'XL', 'M', 'XS', 'L']"
11aM873_stnithr0_sm,9,jeans,1,1.1,FRIOS/INVIERNO,black,NEGRO,True,IR,a,A,three,night,0,smooth,street,cold,"['L', 'M', 'S', 'XL', 'XS']"
11cF1026_bofrthr0_re,7,skirt,1,1.1,FRIOS/INVIERNO,rust,MARRÓN,True,FR,c,B,three,freetime,0,retro,boho,warm_season,"['L', 'M', 'S', 'XL']"
11tM131_bofrthr0_sm,7,jeans,1,1.1,FRIOS/INVIERNO,blue,AZUL,True,IR,t,F,three,freetime,0,smooth,boho,warm_season,"['L', 'M', 'S', 'XL', 'XS']"
11rM131_bofrthr0_sm,7,jeans,1,1.1,CALIDOS/VERANO,pink,ROSA,True,IR,r,I,three,freetime,0,smooth,boho,warm_season,"['M', 'L', 'XL', 'XS', 'S']"
11qP1476_bofrthr0_sm,7,pant,1,1.1,CALIDOS/VERANO,mustand,AMARILLO,True,N,q,D,three,freetime,0,smooth,boho,warm_season,"['M', 'S', 'L', 'XL']"
21gS1560_bowothr0_po,7,shirt,2,2.1,FRIOS/INVIERNO,blue_dark,AZUL,True,FR,g,F,three,work,0,polka_dot,boho,warm_season,"['XL', 'L', 'M', 'S', 'XS']"
21wS1558_bowothr0_ve,7,shirt,2,2.1,CALIDOS/VERANO,salmon,ROSA,True,FR,w,I,three,work,0,vertical_stripes,boho,warm,"['L', 'M', 'S', 'XL', 'XS']"
11sP1474_clwothr0_sm,7,pant,1,1.1,CALIDOS/VERANO,blue_light,AZUL,True,N,s,F,three,work,0,smooth,classic,warm_season,"['L', 'M', 'S', 'XL', 'XS']"
11gP1474_clwothr0_sm,7,pant,1,1.1,FRIOS/INVIERNO,blue_dark,AZUL,True,N,g,F,three,work,0,smooth,classic,warm_season,"['L', 'M', 'S', 'XL', 'X4XL', 'XXL', 'XXXL', 'XS']"
11gM290_clwothr0_sm,7,jeans,1,1.1,FRIOS/INVIERNO,blue_dark,AZUL,True,IR,g,F,three,work,0,smooth,classic,warm_season,"['XXL', 'L', 'M', 'S', 'XL', 'XS', 'XXXL']"
21sS1980_clwothr0_pr,7,shirt,2,2.1,CALIDOS/VERANO,blue_light,AZUL,True,FR,s,F,three,work,0,printed,classic,warm_season,"['S', 'L', 'XL', 'M', 'XS']"
12gD2061_bofrthr0_sm,8,dress,1,1.2,FRIOS/INVIERNO,blue_dark,AZUL,True,N,g,F,three,freetime,0,smooth,boho,warm,"['XS', 'L', 'XL', 'S', 'M']"
